tenure,monthly_charges,contract,internet,tech_support,churn
48,81.0,month-to-month,fiber,1,0
67,99.92,two-year,dsl,1,0
31,47.3,month-to-month,dsl,1,0
11,77.09,month-to-month,fiber,0,1
59,44.15,month-to-month,fiber,1,0
45,62.38,one-year,dsl,1,0
50,52.74,month-to-month,fiber,0,0
7,85.05,two-year,fiber,1,0
22,53.03,one-year,fiber,1,0
55,95.29,month-to-month,fiber,1,0
59,63.86,one-year,none,1,0
31,53.76,month-to-month,fiber,0,0
57,38.67,two-year,dsl,0,0
60,76.33,two-year,dsl,0,0
27,92.38,month-to-month,fiber,0,1
64,76.83,one-year,dsl,0,0
20,125.97,month-to-month,fiber,0,1
17,105.74,month-to-month,none,1,0
49,62.31,one-year,dsl,0,0
45,62.05,two-year,dsl,1,0
10,81.74,month-to-month,fiber,1,0
59,49.05,one-year,none,0,0
14,99.16,one-year,dsl,0,1
57,79.04,month-to-month,fiber,1,0
0,76.41,one-year,fiber,0,1
57,87.17,one-year,fiber,0,0
56,113.07,one-year,fiber,1,0
56,74.27,two-year,fiber,0,0
47,67.17,month-to-month,none,0,0
33,107.72,month-to-month,none,1,0
50,94.19,month-to-month,fiber,0,1
19,61.98,month-to-month,none,0,0
56,70.13,month-to-month,dsl,0,0
40,74.88,two-year,dsl,0,0
33,79.05,month-to-month,none,0,0
36,36.09,one-year,dsl,0,0
40,31.44,month-to-month,dsl,0,0
2,47.82,month-to-month,fiber,1,1
10,45.88,two-year,fiber,1,0
17,53.9,one-year,none,0,0
8,85.87,month-to-month,fiber,1,1
31,65.78,two-year,fiber,0,0
48,74.91,month-to-month,fiber,1,0
47,39.39,month-to-month,dsl,0,0
33,58.46,month-to-month,fiber,1,0
61,84.68,one-year,none,1,0
40,84.87,month-to-month,fiber,0,1
5,51.89,two-year,none,0,0
55,74.04,month-to-month,dsl,0,0
41,124.97,month-to-month,dsl,0,1
45,69.56,two-year,fiber,0,0
40,52.67,month-to-month,fiber,1,0
39,65.66,month-to-month,none,0,0
6,72.3,month-to-month,dsl,0,1
40,66.22,month-to-month,fiber,1,1
57,69.22,month-to-month,none,1,0
21,33.91,month-to-month,none,0,0
43,45.93,one-year,fiber,1,0
2,66.27,month-to-month,dsl,1,1
25,65.87,month-to-month,dsl,1,0
31,55.85,one-year,none,0,0
70,65.57,month-to-month,fiber,0,0
15,71.53,one-year,fiber,0,0
19,92.24,one-year,fiber,1,1
29,67.52,month-to-month,fiber,1,1
71,79.98,month-to-month,fiber,1,0
61,56.46,month-to-month,dsl,0,0
2,84.3,month-to-month,dsl,0,0
16,79.39,month-to-month,fiber,1,0
59,91.65,one-year,dsl,0,0
4,87.84,one-year,fiber,0,0
61,84.72,month-to-month,fiber,1,0
20,67.54,two-year,dsl,1,0
66,76.12,month-to-month,none,0,0
21,96.59,two-year,fiber,1,0
31,53.7,two-year,none,0,0
47,54.29,month-to-month,none,0,0
9,74.54,month-to-month,dsl,0,1
40,80.38,month-to-month,none,0,1
36,49.4,two-year,fiber,0,0
56,68.13,month-to-month,fiber,0,0
71,67.65,two-year,none,0,0
47,15.0,month-to-month,dsl,0,0
29,64.51,month-to-month,fiber,0,1
29,66.07,one-year,fiber,1,0
30,65.99,month-to-month,fiber,0,1
58,105.4,month-to-month,fiber,0,0
23,39.61,two-year,fiber,0,0
12,49.38,month-to-month,none,0,0
24,15.0,two-year,fiber,1,0
1,57.98,two-year,none,1,0
7,60.11,month-to-month,fiber,0,1
6,57.25,month-to-month,fiber,0,1
55,97.69,month-to-month,none,0,0
52,91.52,one-year,fiber,0,0
50,71.95,two-year,fiber,1,0
33,60.73,two-year,none,0,0
51,95.65,two-year,fiber,1,0
11,69.51,month-to-month,fiber,1,1
64,49.54,month-to-month,none,0,0
36,27.09,month-to-month,fiber,0,0
67,58.97,two-year,dsl,1,0
10,88.87,month-to-month,fiber,1,1
35,126.91,month-to-month,fiber,0,1
50,71.54,month-to-month,dsl,1,0
35,50.87,month-to-month,dsl,0,0
32,40.38,month-to-month,fiber,0,0
11,83.8,month-to-month,none,1,1
27,25.88,two-year,dsl,0,0
17,83.76,one-year,dsl,0,1
21,90.44,month-to-month,dsl,0,1
49,80.91,one-year,dsl,1,0
45,64.51,month-to-month,dsl,1,0
43,84.12,one-year,fiber,1,0
26,74.27,month-to-month,none,1,0
69,50.55,one-year,dsl,0,0
6,116.26,month-to-month,none,0,1
24,61.21,month-to-month,none,0,0
8,89.39,one-year,fiber,0,0
24,15.0,one-year,fiber,1,0
69,101.91,one-year,dsl,0,0
26,106.72,month-to-month,dsl,1,0
65,70.75,month-to-month,none,0,0
35,83.97,one-year,fiber,1,0
50,83.96,month-to-month,dsl,0,0
32,53.93,month-to-month,none,1,0
19,83.68,month-to-month,none,0,1
55,49.78,month-to-month,fiber,0,0
69,54.78,month-to-month,none,1,0
18,98.17,month-to-month,fiber,1,0
56,94.37,one-year,dsl,0,0
18,52.34,one-year,fiber,1,0
51,51.66,one-year,dsl,0,0
56,53.86,one-year,fiber,1,0
32,88.32,month-to-month,fiber,0,0
53,45.0,two-year,fiber,1,0
19,78.92,one-year,none,0,0
5,88.67,month-to-month,dsl,1,1
6,67.79,month-to-month,dsl,1,1
32,95.25,one-year,dsl,1,0
64,62.39,one-year,fiber,1,0
9,64.65,one-year,fiber,1,0
32,45.57,one-year,fiber,0,0
50,95.43,two-year,dsl,0,0
14,50.84,two-year,none,0,0
51,78.74,one-year,fiber,0,0
22,68.22,two-year,dsl,0,0
58,43.68,two-year,none,1,0
41,54.77,month-to-month,none,0,0
39,104.57,one-year,fiber,0,0
12,75.04,month-to-month,none,0,0
33,44.77,month-to-month,dsl,1,0
61,77.63,month-to-month,dsl,0,0
1,66.35,month-to-month,dsl,0,1
54,130.0,month-to-month,fiber,0,1
35,77.13,month-to-month,none,0,0
51,60.48,month-to-month,dsl,0,1
47,105.5,one-year,dsl,1,0
31,23.97,two-year,none,1,0
22,72.36,two-year,dsl,1,0
45,119.86,month-to-month,fiber,0,1
10,67.1,month-to-month,fiber,0,1
42,26.67,two-year,none,0,0
6,60.1,month-to-month,dsl,1,0
46,106.36,two-year,none,1,0
45,79.4,one-year,fiber,0,0
6,49.03,month-to-month,dsl,0,1
54,52.87,month-to-month,none,1,0
29,56.01,month-to-month,dsl,0,0
56,79.03,month-to-month,fiber,1,0
2,103.45,month-to-month,fiber,0,1
12,96.31,two-year,none,1,0
35,81.4,one-year,dsl,0,0
13,36.71,month-to-month,fiber,1,0
23,36.8,month-to-month,dsl,1,0
47,83.33,month-to-month,fiber,0,0
10,36.36,month-to-month,fiber,1,0
48,64.36,one-year,fiber,0,0
7,77.6,one-year,fiber,0,0
12,41.56,two-year,none,0,0
42,44.39,month-to-month,fiber,1,0
57,67.65,month-to-month,none,0,0
12,82.59,two-year,dsl,0,0
21,96.54,one-year,fiber,0,1
66,85.18,one-year,fiber,0,0
71,71.84,month-to-month,fiber,0,0
41,51.35,two-year,dsl,0,0
32,43.23,month-to-month,none,1,0
24,57.23,month-to-month,dsl,0,0
44,80.25,one-year,dsl,1,0
42,78.42,month-to-month,none,0,0
21,17.5,two-year,dsl,0,0
1,50.36,month-to-month,dsl,0,0
10,100.11,month-to-month,dsl,0,1
69,71.98,month-to-month,fiber,1,0
30,34.57,two-year,fiber,0,0
34,128.9,one-year,dsl,0,0
33,69.28,month-to-month,dsl,0,0
56,79.61,month-to-month,fiber,1,0
4,79.99,month-to-month,none,0,0
5,60.81,month-to-month,fiber,0,1
19,51.81,one-year,dsl,0,0
35,123.04,month-to-month,none,0,1
48,95.08,month-to-month,fiber,1,0
35,90.55,month-to-month,none,0,1
31,84.41,one-year,none,0,0
67,44.92,one-year,dsl,0,0
11,101.94,one-year,none,1,0
41,48.92,one-year,dsl,0,0
39,77.08,two-year,dsl,1,0
34,29.02,month-to-month,dsl,1,0
58,18.98,two-year,fiber,0,0
19,77.96,one-year,fiber,1,0
68,49.77,month-to-month,fiber,0,0
23,20.27,two-year,fiber,0,0
39,83.52,one-year,none,0,0
37,123.0,one-year,none,0,0
61,104.74,month-to-month,none,0,1
31,63.57,month-to-month,fiber,1,0
20,70.22,two-year,dsl,1,0
1,92.19,month-to-month,dsl,1,1
26,98.05,month-to-month,fiber,0,1
59,61.41,month-to-month,dsl,0,0
0,70.85,month-to-month,fiber,0,1
64,77.52,two-year,none,1,0
39,83.85,one-year,fiber,0,0
10,66.67,two-year,none,0,0
21,67.0,month-to-month,none,1,1
39,104.5,month-to-month,dsl,1,0
22,100.24,month-to-month,fiber,0,1
7,81.94,month-to-month,fiber,1,1
47,112.98,one-year,none,0,1
48,60.34,month-to-month,fiber,1,0
8,110.57,month-to-month,fiber,1,1
20,83.56,two-year,none,1,0
17,130.0,one-year,dsl,0,1
47,40.19,month-to-month,dsl,0,0
52,52.77,one-year,fiber,0,0
52,80.47,month-to-month,dsl,0,0
67,79.93,two-year,none,1,0
55,118.75,one-year,fiber,0,0
23,53.29,month-to-month,fiber,0,1
7,92.62,month-to-month,fiber,0,1
44,99.06,month-to-month,dsl,0,0
65,87.62,one-year,fiber,0,0
70,45.98,month-to-month,none,0,0
16,105.19,one-year,fiber,1,0
17,100.73,month-to-month,fiber,1,1
2,84.99,month-to-month,none,1,1
10,75.11,month-to-month,none,1,1
39,75.65,month-to-month,dsl,0,1
39,68.03,month-to-month,none,1,0
26,86.02,one-year,fiber,0,0
22,70.78,two-year,dsl,0,0
59,48.79,month-to-month,fiber,0,0
33,43.79,one-year,dsl,0,0
58,51.2,month-to-month,dsl,1,0
69,75.55,one-year,none,0,0
22,69.33,month-to-month,fiber,0,0
14,75.38,one-year,fiber,0,0
68,82.52,month-to-month,none,0,0
45,54.32,month-to-month,dsl,1,0
20,106.64,one-year,fiber,0,0
44,63.31,month-to-month,fiber,0,0
37,59.16,month-to-month,fiber,1,0
65,82.06,month-to-month,fiber,1,0
18,24.09,two-year,fiber,0,0
71,50.24,month-to-month,dsl,0,0
67,94.53,month-to-month,dsl,1,0
13,26.56,two-year,dsl,0,0
11,97.94,one-year,fiber,0,1
38,107.78,month-to-month,fiber,0,1
3,60.76,one-year,fiber,0,1
21,77.3,month-to-month,none,1,0
31,97.98,month-to-month,dsl,1,0
69,58.33,month-to-month,fiber,0,0
71,91.69,one-year,dsl,1,0
10,53.22,two-year,dsl,1,0
64,58.06,month-to-month,dsl,0,0
6,50.02,month-to-month,dsl,1,0
53,78.57,month-to-month,none,1,0
60,98.95,month-to-month,fiber,0,0
64,65.4,month-to-month,dsl,0,0
16,38.22,one-year,dsl,1,0
64,42.93,month-to-month,dsl,1,0
8,79.86,two-year,fiber,0,0
37,116.1,month-to-month,dsl,0,0
33,79.84,month-to-month,fiber,1,0
22,60.33,month-to-month,dsl,0,0
1,89.15,one-year,dsl,1,0
55,64.01,month-to-month,fiber,1,0
24,60.54,month-to-month,none,0,1
47,46.04,month-to-month,none,1,0
29,105.21,one-year,dsl,1,0
26,15.0,two-year,none,0,0
63,89.95,month-to-month,none,0,0
6,58.41,month-to-month,fiber,0,1
53,59.74,month-to-month,dsl,1,0
53,112.31,month-to-month,dsl,1,0
27,52.15,two-year,dsl,0,0
18,53.0,month-to-month,none,1,1
0,66.74,one-year,dsl,1,1
67,80.35,two-year,fiber,0,0
68,58.95,one-year,dsl,0,0
17,30.65,month-to-month,dsl,1,0
2,48.36,one-year,fiber,0,1
8,102.03,month-to-month,fiber,1,1
4,71.87,month-to-month,fiber,0,1
59,81.28,two-year,dsl,0,0
64,63.46,month-to-month,fiber,0,0
11,53.51,month-to-month,fiber,0,0
53,111.94,month-to-month,fiber,1,0
12,65.3,month-to-month,dsl,0,1
26,58.92,one-year,fiber,0,0
43,97.4,one-year,fiber,0,1
51,51.94,one-year,dsl,1,0
62,55.13,month-to-month,fiber,0,0
3,70.26,month-to-month,fiber,1,0
14,70.01,month-to-month,dsl,0,1
20,76.49,month-to-month,fiber,0,1
22,122.29,one-year,fiber,1,0
71,78.41,one-year,fiber,0,0
55,15.0,two-year,fiber,1,0
23,78.16,one-year,dsl,1,0
69,70.95,month-to-month,none,1,0
35,71.09,one-year,fiber,0,0
36,76.15,one-year,dsl,1,0
31,69.28,two-year,none,0,0
10,68.68,month-to-month,dsl,0,1
67,85.33,one-year,dsl,0,0
1,56.45,month-to-month,dsl,0,1
12,46.31,one-year,dsl,0,0
16,130.0,two-year,none,1,0
20,52.1,two-year,fiber,0,0
9,72.5,month-to-month,none,0,0
1,32.61,month-to-month,dsl,0,1
48,72.91,one-year,dsl,1,0
69,46.67,one-year,dsl,0,0
8,58.94,two-year,fiber,1,0
21,96.13,month-to-month,fiber,0,1
36,81.8,two-year,none,1,0
66,84.21,one-year,dsl,0,0
49,25.72,month-to-month,none,1,0
55,115.92,month-to-month,fiber,0,1
41,40.2,one-year,fiber,0,0
30,108.21,month-to-month,fiber,1,0
14,95.54,one-year,fiber,1,1
62,84.43,one-year,dsl,0,0
57,48.63,month-to-month,none,0,0
1,73.79,month-to-month,none,1,1
51,58.23,two-year,dsl,0,0
6,70.73,one-year,fiber,1,0
53,63.75,one-year,dsl,0,0
59,19.03,one-year,dsl,0,0
9,98.04,one-year,dsl,0,1
31,67.97,two-year,dsl,0,0
8,57.88,one-year,fiber,0,0
40,55.99,month-to-month,fiber,0,0
66,78.96,month-to-month,none,1,0
5,47.66,month-to-month,dsl,0,0
28,15.0,one-year,none,1,0
70,80.18,month-to-month,fiber,0,0
21,82.98,one-year,dsl,1,0
9,65.01,two-year,fiber,0,0
35,41.3,month-to-month,none,1,0
36,72.22,month-to-month,fiber,1,0
47,33.39,one-year,dsl,1,0
22,44.32,month-to-month,fiber,1,0
68,51.23,one-year,fiber,0,0
37,91.1,month-to-month,fiber,0,1
20,60.93,month-to-month,dsl,0,1
69,58.8,one-year,none,1,0
66,118.87,month-to-month,none,0,0
35,78.81,month-to-month,dsl,1,0
1,78.47,month-to-month,dsl,1,1
42,60.76,month-to-month,dsl,0,0
39,55.09,two-year,fiber,0,0
10,15.34,month-to-month,none,0,0
45,94.22,month-to-month,dsl,0,0
60,81.21,month-to-month,dsl,0,0
7,65.52,month-to-month,fiber,0,1
52,66.57,month-to-month,fiber,1,0
10,88.4,one-year,fiber,1,0
53,31.13,month-to-month,none,0,0
30,55.25,one-year,dsl,0,1
0,41.59,month-to-month,dsl,1,0
69,114.29,month-to-month,dsl,0,0
11,91.89,month-to-month,dsl,1,1
42,15.0,one-year,fiber,0,0
13,32.16,two-year,fiber,1,0
67,66.69,month-to-month,dsl,1,0
53,58.19,two-year,fiber,1,0
57,36.89,month-to-month,fiber,1,0
31,118.62,one-year,dsl,0,0
33,77.81,one-year,fiber,0,0
45,81.87,month-to-month,none,1,0
56,52.7,month-to-month,none,0,0
60,88.06,month-to-month,none,0,1
1,60.49,one-year,none,0,0
47,62.92,month-to-month,fiber,0,0
7,85.28,two-year,fiber,0,0
20,29.28,month-to-month,dsl,0,0
59,109.93,two-year,fiber,0,0
18,74.56,month-to-month,none,0,0
57,102.02,one-year,fiber,1,0
33,43.11,month-to-month,dsl,0,0
16,46.92,month-to-month,dsl,1,1
24,40.95,month-to-month,none,1,0
38,76.26,one-year,dsl,0,0
55,71.65,month-to-month,dsl,0,0
43,58.39,one-year,fiber,0,0
67,44.65,two-year,dsl,1,0
62,38.34,month-to-month,dsl,0,0
54,68.79,month-to-month,dsl,0,0
43,58.36,month-to-month,dsl,0,0
20,52.86,month-to-month,fiber,1,1
29,108.68,month-to-month,fiber,0,1
8,67.94,one-year,none,0,0
26,101.75,month-to-month,fiber,1,0
66,56.67,month-to-month,dsl,0,0
30,76.12,one-year,dsl,1,0
8,68.61,month-to-month,none,1,0
46,27.56,one-year,fiber,0,0
69,105.71,two-year,fiber,0,0
62,66.62,month-to-month,none,0,0
19,88.66,month-to-month,dsl,1,1
32,51.2,two-year,dsl,1,0
38,65.88,one-year,fiber,0,0
17,48.33,one-year,fiber,1,0
19,100.9,one-year,none,0,0
17,77.79,month-to-month,dsl,0,0
71,79.18,month-to-month,none,0,0
53,103.95,one-year,none,1,0
60,98.91,one-year,dsl,0,0
58,89.13,one-year,dsl,1,0
69,34.46,month-to-month,dsl,0,0
7,52.61,two-year,none,1,0
63,44.9,month-to-month,dsl,1,0
4,88.19,month-to-month,fiber,0,1
34,74.27,month-to-month,none,0,0
42,35.24,month-to-month,dsl,1,0
25,65.28,one-year,none,0,0
10,32.65,month-to-month,fiber,0,1
13,68.67,one-year,dsl,1,0
59,28.62,month-to-month,dsl,0,0
22,83.22,month-to-month,dsl,1,1
22,79.45,month-to-month,fiber,0,0
66,117.7,month-to-month,fiber,0,0
10,91.2,one-year,dsl,1,0
65,59.43,month-to-month,none,1,0
66,90.45,month-to-month,fiber,0,0
43,35.06,month-to-month,fiber,0,0
11,45.94,month-to-month,dsl,0,0
11,78.33,month-to-month,fiber,0,0
20,16.04,two-year,fiber,1,0
41,69.07,month-to-month,dsl,0,1
11,44.49,month-to-month,dsl,0,0
32,72.53,two-year,fiber,0,0
8,43.06,one-year,fiber,0,1
38,80.61,month-to-month,none,1,1
1,70.48,one-year,dsl,0,0
51,105.01,two-year,dsl,0,0
3,70.17,month-to-month,fiber,0,1
14,50.78,month-to-month,none,0,1
12,63.83,two-year,none,0,0
59,36.39,one-year,fiber,1,0
3,80.15,two-year,dsl,0,0
30,84.75,month-to-month,dsl,0,0
42,130.0,two-year,fiber,0,0
37,54.45,month-to-month,dsl,1,0
49,63.31,one-year,fiber,0,0
57,55.61,two-year,dsl,0,0
28,75.3,month-to-month,none,0,1
59,79.54,month-to-month,fiber,0,0
22,68.67,one-year,fiber,0,0
70,97.16,two-year,fiber,1,0
36,54.58,month-to-month,none,0,0
52,94.65,two-year,fiber,1,0
63,83.46,month-to-month,fiber,0,0
57,69.7,month-to-month,dsl,1,0
61,62.13,month-to-month,dsl,0,0
38,130.0,two-year,dsl,0,0
3,49.57,month-to-month,none,1,0
35,77.45,one-year,fiber,0,1
13,51.24,month-to-month,dsl,0,1
64,114.64,two-year,dsl,1,0
17,92.17,one-year,fiber,1,0
16,53.04,month-to-month,none,1,0
17,82.81,month-to-month,dsl,0,0
46,76.44,month-to-month,fiber,1,0
41,57.08,month-to-month,fiber,1,0
68,88.95,two-year,fiber,1,0
29,79.73,one-year,none,0,1
20,75.39,month-to-month,fiber,1,1
3,68.95,one-year,none,1,0
0,80.78,month-to-month,fiber,0,1
26,75.73,month-to-month,none,0,0
66,71.48,month-to-month,none,0,0
37,53.97,month-to-month,fiber,0,1
64,112.34,one-year,fiber,1,0
7,43.74,month-to-month,none,0,1
6,80.69,one-year,fiber,0,1
60,61.99,month-to-month,fiber,1,0
7,113.99,one-year,none,1,1
3,47.41,month-to-month,none,0,1
29,51.62,month-to-month,dsl,0,0
66,45.75,month-to-month,none,0,0
49,78.09,month-to-month,dsl,0,0
7,35.67,month-to-month,dsl,0,1
60,58.04,month-to-month,fiber,0,0
60,16.19,one-year,dsl,1,0
57,76.01,month-to-month,dsl,0,0
64,57.49,one-year,dsl,0,0
17,32.8,one-year,none,1,0
70,97.14,month-to-month,dsl,0,0
23,37.31,one-year,dsl,0,0
57,89.92,month-to-month,dsl,0,0
41,52.47,one-year,fiber,0,0
56,110.04,one-year,fiber,0,1
45,88.74,one-year,none,0,0
46,44.8,month-to-month,fiber,0,0
44,47.07,one-year,dsl,1,0
56,85.14,month-to-month,dsl,1,0
53,63.44,month-to-month,none,0,0
9,65.77,month-to-month,dsl,1,1
59,101.81,month-to-month,fiber,0,0
38,51.28,one-year,fiber,0,0
23,72.28,two-year,dsl,0,0
37,93.87,month-to-month,fiber,0,0
69,90.23,one-year,dsl,0,0
61,66.01,one-year,fiber,1,0
60,62.78,two-year,fiber,0,0
33,26.53,one-year,none,0,0
56,43.59,month-to-month,none,0,0
27,77.96,month-to-month,dsl,1,0
49,66.55,one-year,fiber,0,0
46,71.87,month-to-month,none,1,0
17,95.98,two-year,dsl,0,0
19,40.32,two-year,none,1,0
4,64.1,two-year,fiber,0,1
10,74.72,month-to-month,fiber,0,1
31,52.4,one-year,dsl,0,0
34,105.79,one-year,none,0,0
11,92.71,month-to-month,fiber,0,1
30,77.25,month-to-month,fiber,0,0
43,114.86,month-to-month,dsl,0,0
16,32.53,month-to-month,none,0,1
24,69.81,two-year,dsl,0,0
26,79.16,two-year,none,1,0
36,47.14,month-to-month,dsl,1,0
26,77.52,month-to-month,none,1,0
53,42.34,month-to-month,dsl,0,0
23,87.26,month-to-month,fiber,0,1
31,96.45,month-to-month,dsl,1,0
27,76.81,one-year,dsl,1,0
13,23.68,one-year,dsl,1,0
49,45.83,two-year,fiber,1,0
16,84.12,two-year,dsl,1,0
21,70.53,month-to-month,none,1,0
57,15.0,one-year,fiber,0,0
68,101.07,month-to-month,none,0,0
48,73.42,month-to-month,fiber,1,0
65,49.52,month-to-month,fiber,1,0
61,94.87,month-to-month,fiber,0,0
34,53.06,month-to-month,dsl,0,0
55,52.79,month-to-month,fiber,1,0
23,78.96,month-to-month,dsl,0,1
33,114.53,two-year,dsl,1,0
38,110.59,month-to-month,dsl,0,0
69,78.99,month-to-month,none,0,0
61,81.56,two-year,none,1,0
35,89.79,one-year,fiber,1,0
46,38.58,month-to-month,fiber,0,0
14,86.1,two-year,fiber,0,0
57,51.65,month-to-month,dsl,0,0
39,77.96,month-to-month,fiber,0,1
38,64.31,month-to-month,dsl,1,0
55,82.53,month-to-month,dsl,0,0
45,72.95,one-year,dsl,1,0
5,15.0,month-to-month,fiber,1,0
20,74.47,one-year,fiber,0,0
12,86.05,one-year,fiber,0,1
52,81.15,two-year,none,1,0
2,67.44,month-to-month,dsl,0,1
14,111.05,month-to-month,dsl,1,0
43,77.78,two-year,dsl,0,0
50,80.94,one-year,dsl,0,0
36,96.11,month-to-month,fiber,0,1
61,79.06,month-to-month,fiber,0,0
66,47.55,one-year,fiber,1,0
9,15.0,one-year,fiber,0,1
68,58.07,one-year,fiber,0,0
44,89.02,two-year,dsl,0,0
45,61.17,month-to-month,fiber,0,0
6,90.03,month-to-month,fiber,1,0
44,73.72,one-year,fiber,1,0
52,102.2,two-year,fiber,1,0
41,62.62,month-to-month,fiber,1,0
6,81.69,one-year,fiber,0,1
37,82.65,month-to-month,fiber,0,0
67,107.54,month-to-month,none,0,0
52,27.33,two-year,fiber,1,0
9,58.54,month-to-month,fiber,0,0
69,91.21,month-to-month,dsl,1,0
69,108.65,one-year,fiber,0,0
12,76.0,month-to-month,dsl,0,1
57,62.68,month-to-month,fiber,0,0
29,88.93,one-year,none,0,1
42,91.72,month-to-month,none,0,0
32,61.01,one-year,dsl,1,0
56,78.26,month-to-month,fiber,1,0
71,99.51,month-to-month,dsl,0,0
57,117.26,one-year,fiber,1,0
67,88.57,month-to-month,dsl,0,0
68,71.1,two-year,fiber,1,0
6,68.65,two-year,dsl,0,0
18,83.93,two-year,fiber,1,0
51,67.11,month-to-month,dsl,0,0
42,74.74,month-to-month,fiber,0,1
3,43.55,two-year,fiber,1,0
6,102.43,month-to-month,dsl,0,1
37,41.5,one-year,dsl,1,0
44,59.2,two-year,fiber,0,1
12,72.44,month-to-month,fiber,0,1
12,119.77,month-to-month,none,0,1
9,59.43,one-year,dsl,1,0
40,53.35,one-year,dsl,0,0
0,56.23,month-to-month,dsl,0,1
41,111.47,one-year,dsl,0,0
34,15.0,one-year,dsl,0,0
33,44.93,month-to-month,fiber,1,0
48,130.0,month-to-month,dsl,1,1
37,84.77,one-year,dsl,0,0
52,42.35,one-year,fiber,0,0
55,68.95,two-year,dsl,0,0
66,71.69,month-to-month,fiber,1,0
57,91.15,two-year,fiber,1,0
37,115.99,one-year,none,0,0
35,79.71,one-year,none,1,1
16,56.51,month-to-month,fiber,0,0
43,89.68,month-to-month,dsl,0,0
10,52.54,month-to-month,fiber,0,0
67,44.17,month-to-month,dsl,0,0
60,26.0,month-to-month,dsl,0,0
8,30.87,two-year,dsl,0,0
56,47.59,month-to-month,fiber,0,1
8,40.56,two-year,fiber,0,0
51,77.83,month-to-month,none,0,0
6,40.01,two-year,fiber,0,0
35,15.0,month-to-month,fiber,1,0
47,43.9,one-year,fiber,0,0
52,58.2,one-year,dsl,0,0
30,54.86,two-year,fiber,0,0
66,107.99,month-to-month,dsl,0,0
55,54.66,month-to-month,fiber,0,0
14,92.02,two-year,dsl,0,0
48,69.53,month-to-month,none,0,0
52,68.94,one-year,fiber,0,0
24,49.12,month-to-month,dsl,1,0
53,68.53,month-to-month,dsl,0,0
64,50.87,one-year,fiber,0,0
58,74.25,one-year,dsl,0,0
54,64.09,one-year,none,1,0
45,46.38,month-to-month,none,1,0
19,94.8,one-year,none,1,0
57,80.67,two-year,dsl,1,0
26,58.8,month-to-month,dsl,0,0
38,73.64,month-to-month,fiber,0,0
